# Vat.gr.1291 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: topo
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=3.390°  hour=0.350h  chron=11.8min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_topo] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
Virgo	κα	[unread]	[unread]	[unread]	[unread]	21	122;25[pred_topo]	17[pred_topo]	40[pred_topo]
Virgo	κβ	[unread]	[unread]	[unread]	[unread]	22	123;24[pred_topo]	17[pred_topo]	35[pred_topo]
Virgo	κγ	[unread]	[unread]	[unread]	[unread]	23	124;29[pred_topo]	17[pred_topo]	30[pred_topo]
Virgo	κδ	[unread]	[unread]	[unread]	[unread]	24	125;40[pred_topo]	17[pred_topo]	26[pred_topo]
Virgo	κε	[unread]	[unread]	[unread]	[unread]	25	127;48[pred_topo]	17[pred_topo]	21[pred_topo]
Virgo	κϛ	[unread]	[unread]	[unread]	[unread]	26	131;11[pred_topo]	17[pred_topo]	16[pred_topo]
Virgo	κζ	[unread]	[unread]	[unread]	[unread]	27	132;51[pred_topo]	17[pred_topo]	13[pred_topo]
Virgo	κη	[unread]	[unread]	[unread]	[unread]	28	132;40[pred_topo]	17[pred_topo]	12[pred_topo]
Virgo	κθ	[unread]	[unread]	[unread]	[unread]	29	135;18[pred_topo]	16[pred_topo]	25[pred_topo]
Virgo	λ	[unread]	[unread]	[unread]	[unread]	30	137;54[pred_topo]	15[pred_topo]	39[pred_topo]
# === LIBRA (ΖΥΓΟΣ) ===
Libra	α	[unread]	[unread]	[unread]	[unread]	1	138;12[pred_topo]	14[pred_topo]	41[pred_topo]
Libra	β	[unread]	[unread]	[unread]	[unread]	2	133;56[pred_topo]	12[pred_topo]	40[pred_topo]
Libra	γ	[unread]	[unread]	[unread]	[unread]	3	122;10[pred_topo]	12[pred_topo]	15[pred_topo]
Libra	δ	[unread]	[unread]	[unread]	[unread]	4	128;09[pred_topo]	12[pred_topo]	4[pred_topo]
Libra	ε	[unread]	[unread]	[unread]	[unread]	5	134;14[pred_topo]	12[pred_topo]	5[pred_topo]
Libra	ϛ	[unread]	[unread]	[unread]	[unread]	6	136;47[pred_topo]	12[pred_topo]	8[pred_topo]
Libra	ζ	[unread]	[unread]	[unread]	[unread]	7	136;18[pred_topo]	12[pred_topo]	12[pred_topo]
Libra	η	[unread]	[unread]	[unread]	[unread]	8	137;16[pred_topo]	12[pred_topo]	15[pred_topo]
